Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
buffalo,8,103.6,painless lumps,loss of appetite,depression,lumpy virus
goat,4,103.7,crackling sound,loss of appetite,lameness,blackleg
goat,5,100.7,loss of appetite,difficulty walking,sores on hooves,foot and mouth
sheep,2,101.6,loss of appetite,difficulty walking,depression,blackleg
goat,3,104.4,painless lumps,depression,loss of appetite,lumpy virus
buffalo,13,102.3,painless lumps,loss of appetite,depression,lumpy virus
buffalo,1,102.1,crackling sound,lameness,swelling in muscle,blackleg
cow,5,101.6,loss of appetite,painless lumps,depression,lumpy virus
buffalo,4,103.5,depression,loss of appetite,painless lumps,pneumonia
cow,7,100.7,depression,loss of appetite,painless lumps,lumpy virus
goat,8,102.7,painless lumps,loss of appetite,depression,lumpy virus
cow,8,101.2,swelling in abdomen,chest discomfort,fatigue,anthrax
buffalo,8,101.7,chest discomfort,fatigue,shortness of breath,anthrax
cow,14,100.4,depression,loss of appetite,painless lumps,lumpy virus
cow,7,100.8,chills,fatigue,swelling in neck,anthrax
buffalo,11,100.2,lameness,swelling in muscle,crackling sound,blackleg
sheep,5,102.7,chest discomfort,shortness of breath,fatigue,anthrax
sheep,1,102.5,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,3,101.3,loss of appetite,depression,painless lumps,pneumonia
cow,4,101.2,loss of appetite,painless lumps,depression,lumpy virus
buffalo,10,100.4,depression,swelling in muscle,difficulty walking,blackleg
goat,8,101.1,painless lumps,loss of appetite,depression,pneumonia
buffalo,11,103.7,depression,painless lumps,loss of appetite,pneumonia
sheep,6,101.6,lameness,loss of appetite,blisters on mouth,foot and mouth
goat,10,101.4,painless lumps,loss of appetite,depression,lumpy virus
cow,8,103.5,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
sheep,7,102.8,depression,painless lumps,loss of appetite,pneumonia
sheep,3,104.6,loss of appetite,lameness,sores on hooves,foot and mouth
goat,6,100.6,swelling in abdomen,sweats,shortness of breath,anthrax
goat,1,102.1,loss of appetite,painless lumps,depression,pneumonia
goat,2,100.6,depression,swelling in limb,loss of appetite,blackleg
sheep,10,102.8,blisters on hooves,loss of appetite,lameness,foot and mouth
goat,9,102.4,swelling in extremities,fatigue,sweats,anthrax
cow,13,100.2,loss of appetite,painless lumps,depression,pneumonia
cow,7,103.7,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,13,100.7,sores on mouth,lameness,loss of appetite,foot and mouth
cow,7,101.8,swelling in neck,sweats,shortness of breath,anthrax
goat,4,104,loss of appetite,depression,swelling in limb,blackleg
sheep,7,101.6,difficulty walking,loss of appetite,sores on mouth,foot and mouth
cow,12,102,fatigue,chest discomfort,shortness of breath,anthrax
goat,3,100.8,depression,loss of appetite,painless lumps,pneumonia
buffalo,1,100.6,sores on gums,loss of appetite,lameness,foot and mouth
sheep,4,104.4,chills,chest discomfort,sweats,anthrax
cow,3,103.9,blisters on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,8,100.1,depression,loss of appetite,crackling sound,blackleg
sheep,9,100.4,swelling in muscle,loss of appetite,lameness,blackleg
goat,5,100.8,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
goat,4,102.3,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
goat,2,102.1,crackling sound,depression,difficulty walking,blackleg
cow,6,103.7,loss of appetite,depression,painless lumps,lumpy virus
goat,8,101.3,loss of appetite,difficulty walking,blisters on gums,foot and mouth
cow,10,103.2,fatigue,swelling in abdomen,shortness of breath,anthrax
sheep,7,102.5,difficulty walking,sores on mouth,loss of appetite,foot and mouth
cow,6,101.6,sweats,chest discomfort,swelling in abdomen,anthrax
cow,11,104.1,depression,loss of appetite,swelling in limb,blackleg
buffalo,4,101.5,depression,swelling in limb,crackling sound,blackleg
buffalo,4,103,shortness of breath,chest discomfort,swelling in abdomen,anthrax
sheep,4,104.9,loss of appetite,depression,painless lumps,lumpy virus
goat,4,100.2,swelling in extremities,shortness of breath,chest discomfort,anthrax
buffalo,4,101.4,swelling in neck,fatigue,chest discomfort,anthrax
cow,10,103.8,sores on gums,difficulty walking,loss of appetite,foot and mouth
goat,5,104,fatigue,chills,swelling in extremities,anthrax
sheep,8,104.2,chills,fatigue,sweats,anthrax
cow,3,103.3,depression,painless lumps,loss of appetite,lumpy virus
cow,2,102.6,lameness,loss of appetite,depression,blackleg
buffalo,12,103.8,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
cow,2,101.1,chest discomfort,shortness of breath,sweats,anthrax
goat,3,102.6,chest discomfort,fatigue,shortness of breath,anthrax
cow,10,102.8,loss of appetite,painless lumps,depression,pneumonia
buffalo,8,102.6,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,6,102.5,loss of appetite,depression,painless lumps,lumpy virus
buffalo,12,101.4,loss of appetite,depression,painless lumps,pneumonia
sheep,5,104.5,loss of appetite,depression,crackling sound,blackleg
goat,8,104.8,loss of appetite,crackling sound,swelling in limb,blackleg
goat,4,104.4,loss of appetite,sores on gums,lameness,foot and mouth
cow,12,101.7,painless lumps,loss of appetite,depression,pneumonia
sheep,1,101.7,painless lumps,depression,loss of appetite,lumpy virus
cow,1,100.2,loss of appetite,depression,painless lumps,lumpy virus
buffalo,5,102.5,sores on tongue,loss of appetite,lameness,foot and mouth
cow,13,103.4,lameness,blisters on gums,loss of appetite,foot and mouth
buffalo,15,103.7,loss of appetite,painless lumps,depression,pneumonia
buffalo,5,100.5,loss of appetite,painless lumps,depression,pneumonia
goat,2,104.2,lameness,sores on mouth,loss of appetite,foot and mouth
sheep,10,101.5,loss of appetite,difficulty walking,sores on mouth,foot and mouth
sheep,1,102.4,crackling sound,difficulty walking,depression,blackleg
cow,12,101.6,loss of appetite,sores on gums,difficulty walking,foot and mouth
sheep,1,101.3,crackling sound,depression,swelling in muscle,blackleg
cow,13,101.6,loss of appetite,lameness,blisters on tongue,foot and mouth
goat,9,100.9,crackling sound,lameness,loss of appetite,blackleg
goat,8,102.4,painless lumps,depression,loss of appetite,lumpy virus
buffalo,15,101.7,sores on hooves,loss of appetite,lameness,foot and mouth
goat,10,102.9,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,10,103.9,loss of appetite,lameness,sores on tongue,foot and mouth
sheep,10,103.3,loss of appetite,depression,painless lumps,lumpy virus
goat,6,100.4,chills,fatigue,swelling in extremities,anthrax
goat,4,104.1,loss of appetite,depression,crackling sound,blackleg
goat,6,102,sores on tongue,loss of appetite,lameness,foot and mouth
cow,1,102.2,sores on gums,lameness,loss of appetite,foot and mouth
cow,6,104.2,loss of appetite,lameness,blisters on tongue,foot and mouth
sheep,1,100.3,sores on mouth,loss of appetite,difficulty walking,foot and mouth
goat,8,100.1,loss of appetite,painless lumps,depression,pneumonia
goat,10,103.4,depression,swelling in limb,loss of appetite,blackleg
sheep,5,102.6,blisters on gums,loss of appetite,lameness,foot and mouth
cow,12,102,depression,painless lumps,loss of appetite,pneumonia
sheep,5,104.7,swelling in muscle,loss of appetite,difficulty walking,blackleg
goat,5,102.4,painless lumps,depression,loss of appetite,pneumonia
sheep,2,104.7,loss of appetite,lameness,crackling sound,blackleg
buffalo,4,100.3,depression,painless lumps,loss of appetite,pneumonia
cow,3,101.3,painless lumps,loss of appetite,depression,lumpy virus
sheep,7,102.7,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
cow,2,101.5,fatigue,shortness of breath,chest discomfort,anthrax
buffalo,1,103.6,lameness,loss of appetite,swelling in muscle,blackleg
goat,2,104.5,loss of appetite,depression,painless lumps,pneumonia
sheep,5,100.6,difficulty walking,loss of appetite,sores on tongue,foot and mouth
cow,3,102.6,swelling in muscle,loss of appetite,difficulty walking,blackleg
goat,3,101.6,lameness,swelling in muscle,loss of appetite,blackleg
goat,6,101.9,depression,painless lumps,loss of appetite,pneumonia
sheep,5,104.6,sores on gums,loss of appetite,lameness,foot and mouth
buffalo,7,103.9,depression,painless lumps,loss of appetite,lumpy virus
sheep,9,102.3,loss of appetite,sores on hooves,difficulty walking,foot and mouth
cow,4,100.6,loss of appetite,blisters on gums,difficulty walking,foot and mouth
cow,12,104,painless lumps,loss of appetite,depression,lumpy virus
cow,12,102.9,blisters on mouth,loss of appetite,lameness,foot and mouth
sheep,4,100.4,loss of appetite,painless lumps,depression,pneumonia
sheep,9,100.1,depression,painless lumps,loss of appetite,lumpy virus
buffalo,6,100.2,lameness,depression,crackling sound,blackleg
buffalo,9,100.2,sweats,chills,swelling in extremities,anthrax
cow,12,102.7,loss of appetite,depression,swelling in muscle,blackleg
goat,5,103.4,lameness,depression,crackling sound,blackleg
cow,1,104.8,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
goat,6,104.3,sweats,shortness of breath,chills,anthrax
goat,9,102.8,lameness,blisters on mouth,loss of appetite,foot and mouth
sheep,10,100.3,sweats,chest discomfort,fatigue,anthrax
goat,1,105,loss of appetite,blisters on tongue,difficulty walking,foot and mouth
buffalo,11,104.5,loss of appetite,sores on tongue,lameness,foot and mouth
sheep,9,103.4,loss of appetite,difficulty walking,sores on hooves,foot and mouth
cow,5,104.5,loss of appetite,painless lumps,depression,pneumonia
goat,2,102.6,painless lumps,loss of appetite,depression,pneumonia
goat,9,100.8,lameness,loss of appetite,crackling sound,blackleg
cow,9,101.3,loss of appetite,crackling sound,difficulty walking,blackleg
buffalo,5,103,depression,crackling sound,loss of appetite,blackleg
goat,7,101.7,lameness,crackling sound,loss of appetite,blackleg
buffalo,3,100.8,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
cow,4,104.1,loss of appetite,lameness,blisters on hooves,foot and mouth
sheep,7,102.9,depression,swelling in limb,loss of appetite,blackleg
cow,7,102.9,difficulty walking,crackling sound,swelling in limb,blackleg
goat,8,103,shortness of breath,sweats,chest discomfort,anthrax
cow,1,103.7,painless lumps,loss of appetite,depression,pneumonia
goat,8,100.8,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
goat,8,100.1,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
sheep,5,102,loss of appetite,difficulty walking,swelling in muscle,blackleg
cow,2,104.4,painless lumps,depression,loss of appetite,lumpy virus
sheep,6,103.6,shortness of breath,fatigue,chills,anthrax
buffalo,8,102.3,crackling sound,depression,swelling in limb,blackleg
buffalo,2,101.6,loss of appetite,depression,painless lumps,lumpy virus
sheep,7,101.5,painless lumps,depression,loss of appetite,pneumonia
cow,5,101.9,lameness,loss of appetite,sores on tongue,foot and mouth
sheep,1,104.2,chills,swelling in extremities,sweats,anthrax
cow,5,102.4,loss of appetite,crackling sound,swelling in muscle,blackleg
goat,7,100.9,painless lumps,depression,loss of appetite,pneumonia
cow,10,100.4,depression,loss of appetite,painless lumps,pneumonia
sheep,9,103.5,shortness of breath,chills,swelling in neck,anthrax
buffalo,5,101.1,swelling in neck,fatigue,sweats,anthrax
cow,10,101.8,loss of appetite,lameness,blisters on mouth,foot and mouth
buffalo,3,101.3,loss of appetite,painless lumps,depression,lumpy virus
buffalo,2,102.5,chills,shortness of breath,fatigue,anthrax
cow,5,101.4,swelling in limb,crackling sound,depression,blackleg
sheep,4,102.5,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
cow,2,101.8,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
goat,9,102,lameness,loss of appetite,sores on hooves,foot and mouth
cow,11,104.8,loss of appetite,painless lumps,depression,pneumonia
cow,5,101.9,fatigue,swelling in extremities,chills,anthrax
sheep,1,103.3,painless lumps,depression,loss of appetite,pneumonia
buffalo,6,103.8,swelling in abdomen,shortness of breath,sweats,anthrax
goat,4,100.4,loss of appetite,depression,swelling in muscle,blackleg
buffalo,2,102,blisters on tongue,loss of appetite,lameness,foot and mouth
buffalo,11,100.1,chest discomfort,chills,sweats,anthrax
buffalo,15,101,depression,painless lumps,loss of appetite,pneumonia
sheep,2,101.4,loss of appetite,lameness,sores on mouth,foot and mouth
cow,13,101.1,swelling in abdomen,chills,chest discomfort,anthrax
buffalo,2,102.8,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
buffalo,1,102.6,loss of appetite,depression,painless lumps,lumpy virus
goat,2,102.3,crackling sound,loss of appetite,depression,blackleg
goat,5,101.4,sweats,chills,chest discomfort,anthrax
buffalo,9,103.6,sores on hooves,lameness,loss of appetite,foot and mouth
sheep,7,101.3,loss of appetite,depression,painless lumps,pneumonia
sheep,7,102.2,difficulty walking,loss of appetite,sores on mouth,foot and mouth
buffalo,15,104.8,sores on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,9,102.1,loss of appetite,crackling sound,lameness,blackleg
cow,10,105,painless lumps,loss of appetite,depression,pneumonia
buffalo,9,102,loss of appetite,difficulty walking,depression,blackleg
buffalo,5,100.9,difficulty walking,swelling in muscle,crackling sound,blackleg
buffalo,10,103.6,loss of appetite,lameness,blisters on mouth,foot and mouth
cow,7,101.5,depression,painless lumps,loss of appetite,lumpy virus
buffalo,13,102.1,loss of appetite,difficulty walking,sores on gums,foot and mouth
sheep,7,104.3,sweats,chest discomfort,fatigue,anthrax
buffalo,11,102.7,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,7,102.5,fatigue,shortness of breath,chills,anthrax
cow,6,101.4,swelling in muscle,loss of appetite,crackling sound,blackleg
buffalo,5,103.8,sweats,swelling in neck,fatigue,anthrax
sheep,4,102,loss of appetite,depression,painless lumps,lumpy virus
sheep,10,103.2,fatigue,chills,swelling in abdomen,anthrax
cow,5,102.9,depression,painless lumps,loss of appetite,lumpy virus
sheep,7,101.4,swelling in neck,shortness of breath,fatigue,anthrax
cow,1,100.3,depression,loss of appetite,painless lumps,pneumonia
cow,13,102.1,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
buffalo,15,100.2,swelling in extremities,chest discomfort,sweats,anthrax
cow,14,101.4,loss of appetite,lameness,blisters on gums,foot and mouth
goat,5,100.8,blisters on hooves,lameness,loss of appetite,foot and mouth
cow,2,102.2,depression,painless lumps,loss of appetite,lumpy virus
sheep,2,104.5,loss of appetite,lameness,crackling sound,blackleg
sheep,8,100.3,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
sheep,10,102.6,painless lumps,loss of appetite,depression,lumpy virus
goat,9,102.3,blisters on hooves,lameness,loss of appetite,foot and mouth
goat,1,102.6,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
goat,9,102.7,lameness,sores on gums,loss of appetite,foot and mouth
cow,7,103.2,loss of appetite,sores on hooves,lameness,foot and mouth
goat,4,100.4,fatigue,sweats,chest discomfort,anthrax
buffalo,5,100.9,loss of appetite,sores on mouth,lameness,foot and mouth
goat,10,103,crackling sound,lameness,loss of appetite,blackleg
sheep,5,101.1,depression,painless lumps,loss of appetite,pneumonia
buffalo,11,101.8,painless lumps,depression,loss of appetite,pneumonia
cow,8,102.6,loss of appetite,depression,swelling in muscle,blackleg
cow,13,100.5,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,3,104.4,loss of appetite,blisters on tongue,lameness,foot and mouth
sheep,1,104.2,painless lumps,loss of appetite,depression,lumpy virus
goat,2,100,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
goat,1,100.9,lameness,loss of appetite,sores on tongue,foot and mouth
sheep,2,104.2,loss of appetite,painless lumps,depression,lumpy virus
goat,7,102.6,depression,loss of appetite,painless lumps,pneumonia
sheep,5,104.9,sweats,chest discomfort,fatigue,anthrax
buffalo,13,102.8,loss of appetite,painless lumps,depression,pneumonia
buffalo,13,102.9,loss of appetite,lameness,sores on tongue,foot and mouth
goat,7,102.9,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,15,102.6,sweats,fatigue,shortness of breath,anthrax
buffalo,15,101.9,painless lumps,loss of appetite,depression,pneumonia
goat,10,101.8,crackling sound,swelling in limb,difficulty walking,blackleg
goat,2,102.1,loss of appetite,blisters on hooves,lameness,foot and mouth
cow,13,100.1,blisters on mouth,loss of appetite,lameness,foot and mouth
goat,6,103.9,depression,swelling in muscle,difficulty walking,blackleg
buffalo,4,101.8,swelling in neck,shortness of breath,chest discomfort,anthrax
cow,6,101.2,depression,loss of appetite,painless lumps,pneumonia
cow,7,102.2,chest discomfort,chills,shortness of breath,anthrax
cow,8,102.1,sores on tongue,lameness,loss of appetite,foot and mouth
cow,13,101.9,painless lumps,loss of appetite,depression,pneumonia
buffalo,7,100,loss of appetite,sores on hooves,difficulty walking,foot and mouth
cow,15,102.2,painless lumps,depression,loss of appetite,lumpy virus
buffalo,8,100.3,lameness,blisters on hooves,loss of appetite,foot and mouth
goat,9,103.5,loss of appetite,difficulty walking,depression,blackleg
cow,6,102.2,loss of appetite,crackling sound,depression,blackleg
buffalo,6,101.8,depression,painless lumps,loss of appetite,lumpy virus
buffalo,1,104.2,painless lumps,depression,loss of appetite,lumpy virus
buffalo,11,101.3,crackling sound,lameness,loss of appetite,blackleg
sheep,4,101.7,loss of appetite,crackling sound,swelling in limb,blackleg
goat,10,103.3,loss of appetite,lameness,swelling in limb,blackleg
goat,9,103.5,chest discomfort,chills,sweats,anthrax
cow,9,101.5,depression,lameness,crackling sound,blackleg
buffalo,9,102.6,painless lumps,depression,loss of appetite,lumpy virus
buffalo,11,100.2,loss of appetite,painless lumps,depression,lumpy virus
goat,4,100.4,loss of appetite,painless lumps,depression,pneumonia
cow,15,103.9,sores on gums,loss of appetite,lameness,foot and mouth
goat,7,104.2,loss of appetite,painless lumps,depression,lumpy virus
sheep,1,104.8,shortness of breath,chills,sweats,anthrax
cow,11,100.4,sores on tongue,loss of appetite,lameness,foot and mouth
goat,10,100.6,lameness,loss of appetite,swelling in limb,blackleg
cow,5,104.4,swelling in muscle,loss of appetite,difficulty walking,blackleg
sheep,4,103.7,chills,sweats,chest discomfort,anthrax
cow,11,104.5,swelling in limb,crackling sound,loss of appetite,blackleg
sheep,4,102.5,depression,painless lumps,loss of appetite,pneumonia
sheep,9,102.5,swelling in muscle,loss of appetite,crackling sound,blackleg
cow,11,101.8,painless lumps,loss of appetite,depression,pneumonia
cow,15,100.7,lameness,sores on gums,loss of appetite,foot and mouth
buffalo,1,101.6,painless lumps,depression,loss of appetite,lumpy virus
cow,6,100.4,loss of appetite,blisters on tongue,lameness,foot and mouth
sheep,10,102.2,crackling sound,swelling in muscle,lameness,blackleg
cow,10,102,depression,painless lumps,loss of appetite,pneumonia
goat,5,100.9,swelling in neck,fatigue,sweats,anthrax
buffalo,8,100.1,depression,painless lumps,loss of appetite,lumpy virus
cow,15,100.8,sweats,fatigue,shortness of breath,anthrax
goat,9,100,loss of appetite,depression,painless lumps,pneumonia
goat,9,104.4,depression,crackling sound,loss of appetite,blackleg
buffalo,10,102.1,depression,swelling in muscle,crackling sound,blackleg
buffalo,13,101.3,loss of appetite,blisters on gums,lameness,foot and mouth
goat,8,100.8,chest discomfort,shortness of breath,swelling in neck,anthrax
sheep,9,104.5,depression,painless lumps,loss of appetite,lumpy virus
goat,6,102.6,sweats,swelling in abdomen,chills,anthrax
sheep,2,103.5,sweats,swelling in abdomen,fatigue,anthrax
sheep,4,101.7,sweats,shortness of breath,swelling in abdomen,anthrax
goat,6,100.2,loss of appetite,painless lumps,depression,lumpy virus
goat,10,104.1,painless lumps,loss of appetite,depression,pneumonia
goat,7,102.2,loss of appetite,swelling in limb,depression,blackleg
sheep,7,102.3,chills,swelling in neck,shortness of breath,anthrax
buffalo,1,103.2,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,10,103.2,difficulty walking,loss of appetite,swelling in limb,blackleg
buffalo,14,103.8,depression,swelling in muscle,loss of appetite,blackleg
goat,9,104,shortness of breath,sweats,fatigue,anthrax
cow,14,104.5,sores on hooves,lameness,loss of appetite,foot and mouth
cow,14,104.3,depression,painless lumps,loss of appetite,lumpy virus
buffalo,14,104.8,chest discomfort,fatigue,chills,anthrax
buffalo,6,102.8,swelling in muscle,crackling sound,depression,blackleg
sheep,8,101.7,crackling sound,loss of appetite,difficulty walking,blackleg
goat,5,104.9,swelling in extremities,sweats,shortness of breath,anthrax
goat,3,100.8,crackling sound,difficulty walking,depression,blackleg
buffalo,4,101.5,crackling sound,loss of appetite,difficulty walking,blackleg
cow,6,103.4,difficulty walking,depression,loss of appetite,blackleg
cow,13,102.2,blisters on gums,loss of appetite,difficulty walking,foot and mouth
cow,5,104.6,depression,swelling in muscle,lameness,blackleg
sheep,1,100.3,sweats,chest discomfort,chills,anthrax
cow,5,100.6,lameness,sores on hooves,loss of appetite,foot and mouth
cow,7,101.8,loss of appetite,depression,painless lumps,pneumonia
goat,7,104.7,sores on mouth,loss of appetite,lameness,foot and mouth
buffalo,2,104.2,loss of appetite,sores on tongue,lameness,foot and mouth
sheep,10,100.6,lameness,blisters on gums,loss of appetite,foot and mouth
cow,11,102.5,lameness,loss of appetite,sores on hooves,foot and mouth
goat,3,101.5,loss of appetite,sores on mouth,lameness,foot and mouth
cow,13,104.9,painless lumps,loss of appetite,depression,pneumonia
buffalo,11,100.3,loss of appetite,depression,painless lumps,lumpy virus
goat,5,103.6,loss of appetite,painless lumps,depression,lumpy virus
sheep,2,100.7,difficulty walking,sores on hooves,loss of appetite,foot and mouth
cow,3,103.7,depression,loss of appetite,painless lumps,pneumonia
buffalo,1,103,sweats,shortness of breath,swelling in extremities,anthrax
buffalo,11,104.1,sweats,chills,shortness of breath,anthrax
cow,4,104.8,shortness of breath,sweats,swelling in abdomen,anthrax
sheep,8,102,loss of appetite,depression,painless lumps,lumpy virus
sheep,8,104.4,difficulty walking,swelling in muscle,crackling sound,blackleg
goat,1,101.7,sores on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,6,104.7,depression,loss of appetite,swelling in limb,blackleg
goat,9,101.6,loss of appetite,depression,painless lumps,pneumonia
cow,14,102.9,depression,painless lumps,loss of appetite,pneumonia
sheep,10,100.2,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,10,104.1,loss of appetite,lameness,depression,blackleg
sheep,10,103.4,chills,fatigue,chest discomfort,anthrax
buffalo,12,101,depression,lameness,crackling sound,blackleg
buffalo,4,102.4,painless lumps,depression,loss of appetite,lumpy virus
sheep,4,101.6,crackling sound,swelling in limb,difficulty walking,blackleg
buffalo,2,104.3,loss of appetite,painless lumps,depression,pneumonia
buffalo,5,101.1,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
cow,11,102.1,chills,swelling in abdomen,fatigue,anthrax
sheep,8,101.1,depression,painless lumps,loss of appetite,lumpy virus
cow,15,104.8,chest discomfort,shortness of breath,sweats,anthrax
buffalo,14,104.6,difficulty walking,depression,crackling sound,blackleg
goat,6,104,blisters on gums,loss of appetite,lameness,foot and mouth
buffalo,11,100.4,lameness,loss of appetite,depression,blackleg
goat,1,101.4,crackling sound,loss of appetite,swelling in muscle,blackleg
goat,9,103.6,fatigue,shortness of breath,chills,anthrax
buffalo,1,101.2,swelling in muscle,crackling sound,loss of appetite,blackleg
sheep,6,101.5,fatigue,swelling in abdomen,chills,anthrax
buffalo,13,102.8,swelling in muscle,crackling sound,loss of appetite,blackleg
sheep,5,100.4,crackling sound,loss of appetite,swelling in muscle,blackleg
goat,8,103.9,painless lumps,loss of appetite,depression,lumpy virus
cow,14,103.2,chest discomfort,swelling in neck,chills,anthrax
sheep,9,104,shortness of breath,fatigue,sweats,anthrax
cow,9,102.4,chest discomfort,sweats,chills,anthrax
cow,14,104.2,sores on gums,loss of appetite,lameness,foot and mouth
buffalo,8,103,chills,swelling in abdomen,sweats,anthrax
buffalo,11,103.3,painless lumps,loss of appetite,depression,pneumonia
buffalo,7,100.7,loss of appetite,depression,painless lumps,lumpy virus
cow,8,104.2,chest discomfort,fatigue,chills,anthrax
cow,9,101.2,depression,difficulty walking,swelling in muscle,blackleg
goat,7,101.4,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,11,100.3,shortness of breath,chills,fatigue,anthrax
sheep,7,104.5,loss of appetite,difficulty walking,swelling in limb,blackleg
cow,13,102.8,sweats,chills,shortness of breath,anthrax
sheep,4,104.9,loss of appetite,painless lumps,depression,lumpy virus
cow,13,102.1,depression,loss of appetite,painless lumps,pneumonia
buffalo,7,104.7,loss of appetite,depression,swelling in limb,blackleg
cow,5,100.2,depression,swelling in muscle,loss of appetite,blackleg
cow,5,101.1,depression,swelling in limb,lameness,blackleg
goat,2,104.1,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
goat,2,101.7,depression,loss of appetite,painless lumps,lumpy virus
cow,3,102.9,sweats,shortness of breath,swelling in abdomen,anthrax
cow,6,100.9,depression,loss of appetite,painless lumps,lumpy virus
cow,4,104.3,loss of appetite,swelling in limb,crackling sound,blackleg
goat,1,101.1,swelling in extremities,chills,sweats,anthrax
buffalo,14,102.4,loss of appetite,painless lumps,depression,lumpy virus
sheep,10,102.5,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
goat,2,102.9,chills,chest discomfort,swelling in abdomen,anthrax
cow,7,104.5,fatigue,swelling in abdomen,chest discomfort,anthrax
goat,7,103.8,loss of appetite,depression,painless lumps,lumpy virus
buffalo,15,102.6,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
sheep,9,100.7,lameness,loss of appetite,sores on hooves,foot and mouth
sheep,10,102.9,loss of appetite,painless lumps,depression,lumpy virus
buffalo,1,101,lameness,loss of appetite,blisters on gums,foot and mouth
goat,4,100.1,painless lumps,loss of appetite,depression,lumpy virus
buffalo,7,100.8,loss of appetite,painless lumps,depression,pneumonia
cow,4,102.8,loss of appetite,swelling in muscle,depression,blackleg
goat,3,100.3,fatigue,swelling in extremities,chills,anthrax
sheep,3,102,shortness of breath,swelling in neck,chills,anthrax
cow,6,104.6,loss of appetite,painless lumps,depression,pneumonia
buffalo,2,103.4,swelling in limb,difficulty walking,depression,blackleg
cow,13,102.1,depression,painless lumps,loss of appetite,lumpy virus
sheep,4,104.4,depression,loss of appetite,difficulty walking,blackleg
buffalo,12,102.5,blisters on hooves,loss of appetite,lameness,foot and mouth
sheep,2,102.2,fatigue,chest discomfort,swelling in neck,anthrax
cow,11,103.3,painless lumps,depression,loss of appetite,lumpy virus
buffalo,15,104,painless lumps,loss of appetite,depression,lumpy virus
goat,9,104.3,painless lumps,loss of appetite,depression,pneumonia
sheep,9,100.3,swelling in limb,crackling sound,lameness,blackleg
sheep,7,100.8,loss of appetite,depression,painless lumps,pneumonia
sheep,2,104.5,loss of appetite,blisters on gums,difficulty walking,foot and mouth
buffalo,8,101.6,depression,painless lumps,loss of appetite,lumpy virus
buffalo,7,102.8,lameness,loss of appetite,blisters on mouth,foot and mouth
goat,10,102.9,crackling sound,depression,loss of appetite,blackleg
buffalo,6,103.7,loss of appetite,depression,painless lumps,lumpy virus
buffalo,8,102.4,loss of appetite,swelling in muscle,crackling sound,blackleg
cow,5,101.7,loss of appetite,painless lumps,depression,lumpy virus
buffalo,13,102.7,depression,painless lumps,loss of appetite,lumpy virus
buffalo,4,100.8,depression,painless lumps,loss of appetite,pneumonia
buffalo,7,101.4,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
buffalo,15,103.4,depression,painless lumps,loss of appetite,lumpy virus
cow,12,100.4,depression,loss of appetite,lameness,blackleg
sheep,2,101.1,loss of appetite,swelling in limb,depression,blackleg
buffalo,13,104.3,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,5,100.2,crackling sound,lameness,loss of appetite,blackleg
sheep,2,100,loss of appetite,painless lumps,depression,pneumonia
sheep,7,100,crackling sound,loss of appetite,swelling in limb,blackleg
cow,4,102,lameness,loss of appetite,crackling sound,blackleg
cow,2,102.3,painless lumps,depression,loss of appetite,pneumonia
buffalo,3,102.9,depression,loss of appetite,painless lumps,lumpy virus
cow,14,104.5,depression,painless lumps,loss of appetite,pneumonia
buffalo,9,100.9,painless lumps,depression,loss of appetite,lumpy virus
